unlimited

running 212 tests
test algorithms::certain_zero::search_strategy::linear_constraints::test::non_linear_constraint_01 ... ignored
test algorithms::certain_zero::search_strategy::linear_constraints::test::non_linear_constraint_02 ... ignored
test algorithms::certain_zero::search_strategy::linear_constraints::test::non_linear_constraint_03 ... ignored
test algorithms::certain_zero::search_strategy::linear_constraints::test::non_linear_constraint_04 ... ignored
test algorithms::certain_zero::search_strategy::linear_constraints::test::non_linear_constraint_05 ... ignored
test algorithms::certain_zero::search_strategy::linear_constraints::test::normal_linear_constraint_01 ... ignored
test algorithms::certain_zero::search_strategy::linear_constraints::test::normal_linear_constraint_02 ... ignored
test algorithms::certain_zero::search_strategy::linear_constraints::test::normal_linear_constraint_03 ... ignored
test algorithms::certain_zero::search_strategy::linear_constraints::test::normal_linear_constraint_04 ... ignored
test algorithms::certain_zero::search_strategy::linear_constraints::test::normal_linear_constraint_05 ... ignored
test algorithms::certain_zero::search_strategy::linear_constraints::test::normal_linear_constraint_06 ... ignored
test algorithms::certain_zero::search_strategy::linear_constraints::test::other_linear_constraint_01 ... ignored
test algorithms::certain_zero::search_strategy::linear_constraints::test::other_linear_constraint_02 ... ignored
test algorithms::certain_zero::search_strategy::linear_constraints::test::other_linear_constraint_03 ... ignored
test algorithms::certain_zero::search_strategy::linear_constraints::test::other_linear_constraint_04 ... ignored
test algorithms::certain_zero::search_strategy::linear_constraints::test::other_linear_constraint_05 ... ignored
test algorithms::certain_zero::search_strategy::linear_constraints::test::simple_comparison_01 ... ignored
test algorithms::certain_zero::search_strategy::linear_constraints::test::simple_comparison_02 ... ignored
test algorithms::certain_zero::search_strategy::linear_constraints::test::simple_comparison_03 ... ignored
test algorithms::certain_zero::search_strategy::linear_constraints::test::simple_comparison_04 ... ignored
test algorithms::certain_zero::test::test_dcz_empty_hyper_edge ... ignored
test algorithms::certain_zero::test::test_dcz_general_01 ... ignored
test algorithms::certain_zero::test::test_dcz_general_02 ... ignored
test algorithms::certain_zero::test::test_dcz_general_03 ... ignored
test algorithms::certain_zero::test::test_dcz_general_04 ... ignored
test algorithms::certain_zero::test::test_dcz_general_05 ... ignored
test algorithms::certain_zero::test::test_dcz_general_06 ... ignored
test algorithms::certain_zero::test::test_dcz_general_07 ... ignored
test algorithms::certain_zero::test::test_dcz_general_08 ... ignored
test algorithms::certain_zero::test::test_dcz_negation_01 ... ignored
test algorithms::certain_zero::test::test_dcz_negation_02 ... ignored
test algorithms::certain_zero::test::test_dcz_negation_03 ... ignored
test algorithms::certain_zero::test::test_dcz_negation_04 ... ignored
test algorithms::certain_zero::test::test_dcz_negation_05 ... ignored
test algorithms::certain_zero::test::test_dcz_negation_to_undecided_01 ... ignored
test algorithms::certain_zero::test::test_dcz_no_successors ... ignored
test algorithms::global::test::test_global_algorithm_empty_hyper_edge ... ignored
test algorithms::global::test::test_global_algorithm_general_01 ... ignored
test algorithms::global::test::test_global_algorithm_general_02 ... ignored
test algorithms::global::test::test_global_algorithm_general_03 ... ignored
